Company,Ticker,Shares Outstanding,Market Cap
Simon Property Group A,SPG,"309,413,000.00","62,244,613,210.00"
Skyworks Solutions Inc,SWKS,"191,668,000.00","12,807,255,760.00"
Smucker J.M. Co,SJM,"119,684,000.00","15,197,474,320.00"
Snap On Inc,SNA,"58,092,000.00","9,252,893,760.00"
Southern Co,SO,"912,847,000.00","45,733,634,700.00"
Southwest Airlines Co,LUV,"638,070,000.00","28,464,302,700.00"
Southwestern Energy Co,SWN,"389,664,000.00","5,233,187,520.00"
Spectra Energy Corp,SE,"671,500,000.00","20,997,805,000.00"
St Jude Medical Inc,STJ,"283,617,000.00","21,611,615,400.00"
Stanley Black & Decker,SWK,"152,335,000.00","17,049,333,200.00"
Staples Inc,SPLS,"645,757,000.00","6,586,721,400.00"
Starbucks Corp,SBUX,"1,478,100,000.00","83,113,563,000.00"
Starwood Hotel & Resort World,HOT,"168,760,000.00","13,818,068,800.00"
State Street Corp,STT,"400,017,000.00","24,921,059,100.00"
Stericycle Inc,SRCL,"84,985,000.00","8,121,166,600.00"
Stryker Corp,SYK,"372,982,000.00","40,658,767,820.00"
SunTrust Banks Inc (GA),STI,"505,000,000.00","21,078,700,000.00"
Symantec Corp,SYMC,"609,923,000.00","10,152,168,335.00"
Synchrony Financial,SYF,"833,829,000.00","25,490,152,530.00"
Sysco Corp,SYY,"564,603,000.00","26,011,260,210.00"
T Rowe Price Group Inc,TROW,"248,179,000.00","18,685,396,910.00"
TE Connectivity Ltd.,TEL,"369,678,000.00","21,988,447,440.00"
TECO Energy Inc,TE,"235,495,000.00","6,539,696,150.00"
TEGNA Inc,TGNA,"219,720,000.00","5,132,659,200.00"
TJX Cos Inc,TJX,"669,529,000.00","50,763,688,780.00"
Target Corp,TGT,"602,227,000.00","47,877,046,500.00"
Teradata Corp,TDC,"133,000,000.00","3,364,900,000.00"
Tesoro Corp,TSO,"119,300,000.00","9,507,017,000.00"
Texas Instruments Inc,TXN,"1,005,258,000.00","57,339,916,320.00"
Textron Inc,TXT,"271,172,000.00","10,488,932,960.00"
The ADT Corp.,ADT,"165,319,000.00","6,940,091,620.00"
The Bank of New York Mellon Corp,BK,"1,075,801,000.00","43,290,232,240.00"
The Kraft Heinz Company,KHC,"1,213,456,000.00","94,734,509,920.00"
The Priceline Group Inc,PCLN,"49,617,000.00","66,668,378,220.00"
The Williams Companies Inc,WMB,"750,066,000.00","14,543,779,740.00"
Thermo Fisher Scientific,TMO,"396,262,000.00","57,160,793,500.00"
Tiffany & Co,TIF,"128,212,000.00","9,147,926,200.00"
Time Warner Cable Inc,TWC,"283,270,000.00","60,084,399,700.00"
Time Warner Inc,TWX,"790,154,000.00","59,372,171,560.00"
Torchmark Corp,TMK,"121,265,000.00","7,020,030,850.00"
Total System Services Inc,TSS,"183,169,000.00","9,367,262,660.00"
Tractor Supply Co,TSCO,"133,740,000.00","12,659,828,400.00"
Transocean Ltd,RIG,"364,114,000.00","4,034,383,120.00"
Travelers Cos Inc,TRV,"294,977,000.00","32,417,972,300.00"
TripAdvisor Inc. A,TRIP,"132,465,000.00","8,555,914,350.00"
Twenty-First Century Fox Inc A,FOXA,"1,119,447,000.00","33,874,466,220.00"
Twenty-First Century Fox Inc B,FOX,"798,521,000.00","24,051,452,520.00"
Tyco Intl,TYC,"424,619,000.00","16,356,323,880.00"
Tyson Foods Inc A,TSN,"293,094,000.00","19,291,447,080.00"
UDR Inc,UDR,"267,133,000.00","9,328,284,360.00"
US Bancorp,USB,"1,737,316,000.00","74,166,020,040.00"
Ulta Salon Cosmetics & Fragr,ULTA,"63,699,000.00","13,267,227,720.00"
Under Armour Inc A,UA,"181,650,000.00","7,981,701,000.00"
Under Armour Inc-C,UA.C,"181,650,000.00","7,411,320,000.00"
Union Pacific Corp,UNP,"846,414,000.00","73,832,693,220.00"
United Continental Holding Inc,UAL,"359,485,000.00","16,468,007,850.00"
United Parcel Service Inc B,UPS,"690,181,000.00","72,517,317,670.00"
United Rentals Inc,URI,"90,970,000.00","6,088,622,100.00"
United Technologies Corp,UTX,"836,432,000.00","87,298,407,840.00"
Unitedhealth Group Inc,UNH,"950,674,000.00","125,184,752,320.00"
Universal Health Services B,UHS,"90,385,000.00","12,082,666,800.00"
Unum Group,UNM,"238,857,000.00","8,171,297,970.00"
Urban Outfitters,URBN,"117,321,000.00","3,557,172,720.00"
VF Corp,VFC,"424,475,000.00","26,763,148,750.00"
Valero Energy Corp,VLO,"470,393,000.00","27,692,035,910.00"
Varian Medical Systems Inc,VAR,"95,503,000.00","7,752,933,540.00"
Ventas Inc,VTR,"336,070,000.00","20,876,668,400.00"
VeriSign Inc,VRSN,"109,469,000.00","9,458,121,600.00"
Verisk Analytics Inc,VRSK,"168,034,000.00","13,036,077,720.00"
Verizon Communications Inc,VZ,"4,073,841,000.00","207,521,460,540.00"
Vertex Pharmaceuticals Inc,VRTX,"246,392,000.00","20,780,701,280.00"
Viacom Inc B,VIAB,"346,456,000.00","14,170,050,400.00"
Visa Inc A,V,"1,919,131,000.00","148,233,678,440.00"
Vornado Realty Trust,VNO,"188,577,000.00","18,052,476,210.00"
Vulcan Materials Co,VMC,"133,181,000.00","14,334,271,030.00"
WEC Energy Group Inc,WEC,"315,652,000.00","18,374,102,920.00"
Wal-Mart Stores,WMT,"3,201,893,000.00","214,110,584,910.00"
Walgreens Boots Alliance Inc,WBA,"1,078,747,000.00","85,523,062,160.00"
Walt Disney Co,DIS,"1,631,570,000.00","168,475,918,200.00"
Waste Management Inc,WM,"445,652,000.00","26,199,881,080.00"
Waters Corp,WAT,"81,254,000.00","10,576,020,640.00"
Wells Fargo & Co,WFC,"5,076,712,000.00","253,734,065,760.00"
Welltower Inc,HCN,"355,141,000.00","24,653,888,220.00"
WestRock Co,WRK,"253,849,000.00","10,623,580,650.00"
Western Digital Corp,WDC,"232,770,000.00","9,512,146,050.00"
Western Union Co,WU,"501,914,000.00","10,038,280,000.00"
Weyerhaeuser Co,WY,"789,393,000.00","25,355,303,160.00"
Whirlpool Corp,WHR,"77,233,000.00","13,449,354,620.00"
Whole Foods Market Inc,WFM,"324,616,000.00","9,439,833,280.00"
Willis Towers Watson PLC,WLTW,"138,172,000.00","17,257,682,800.00"
Wyndham Worldwide Corp,WYN,"112,508,000.00","7,982,442,600.00"
Wynn Resorts Ltd,WYNN,"101,750,000.00","8,984,525,000.00"
XL Group Plc,XL,"291,795,000.00","9,550,450,350.00"
Xcel Energy Inc,XEL,"507,554,000.00","20,317,386,620.00"
Xerox Corp,XRX,"1,012,900,000.00","9,723,840,000.00"
Xilinx Inc,XLNX,"255,540,000.00","11,008,663,200.00"
Xylem Inc,XYL,"178,486,000.00","7,457,145,080.00"
Yahoo Inc,YHOO,"946,812,000.00","34,653,319,200.00"
Yum! Brands Inc,YUM,"408,712,000.00","32,517,126,720.00"
Zimmer Biomet Holdings Inc,ZBH,"198,834,000.00","23,019,012,180.00"
Zions Bancorp (UT),ZION,"204,507,000.00","5,628,032,640.00"
Zoetis Inc,ZTS,"497,160,000.00","23,381,434,800.00"
eBay Inc.,EBAY,"1,178,705,000.00","28,795,763,150.00"
